question,summary_answer,difficulty,intent,filename
add descriptive statistics for LLM output,It discusses adding descriptive statistics to enhance the understanding of LLM output performance using the Evidently framework.,intermediate,code,examples/LLM_regression_testing.mdx
initialize project in Evidently Cloud,Instructions for initializing a new project in Evidently Cloud are provided for tracking regression test results.,beginner,code,examples/LLM_regression_testing.mdx
use LLM judge for style checks,The article explains how to implement a style judge to evaluate the stylistic consistency of LLM responses.,advanced,code,examples/LLM_regression_testing.mdx
test LLM outputs with custom criteria,Learn about creating custom test criteria using the LLM-as-a-judge approach to evaluate the generated outputs more effectively.,advanced,code,examples/LLM_regression_testing.mdx
evaluate dataset against benchmarks,The article outlines methods to evaluate new LLM output datasets against established benchmarks for consistency and correctness.,intermediate,text,examples/LLM_regression_testing.mdx
add tags to LLM test reports,Instructions are given on how to use tags in test reports to associate specific runs with particular parameters or versions.,intermediate,code,examples/LLM_regression_testing.mdx
generate test results summary,The process of generating a summary of test results across multiple runs to assess improvements or regressions in LLM outputs is explained.,intermediate,text,examples/LLM_regression_testing.mdx
set up CI/CD for LLM testing,The article provides insights on how to integrate LLM testing into CI/CD workflows to automate evaluation on every change.,advanced,text,examples/LLM_regression_testing.mdx
create automated dashboards for LLM test results,Learn how to create automated dashboards that update with new test results for continuous monitoring of LLM output validity.,advanced,code,examples/LLM_regression_testing.mdx
LLM evaluation quickstart,"The article provides a quickstart guide that outlines the initial steps to evaluate LLM quality, suitable for new users.",beginner,code,examples/introduction.mdx
ML data drift evaluation steps,It includes a quickstart for testing tabular data quality and data drift for beginners to understand key concepts.,beginner,code,examples/introduction.mdx
How to evaluate text outputs LLM,There are end-to-end examples demonstrating how to evaluate the quality of text outputs from large language models.,beginner,code,examples/introduction.mdx
LLM judge tutorial,"The article features a tutorial on creating and evaluating an LLM judge using human labels, ideal for those new to the topic.",beginner,code,examples/introduction.mdx
Using multiple LLMs to evaluate outputs,"A tutorial demonstrates how to employ multiple LLMs as judges to assess the same output, suitable for intermediate learners.",intermediate,code,examples/introduction.mdx
LLM evaluation methods explained,"It walks through various evaluation methods, offering insights into reference-based and reference-free evaluations of LLM outputs.",intermediate,text,examples/introduction.mdx
GitHub actions for LLM integration,The article details how to integrate Evidently evaluations within GitHub actions for automated testing in CI/CD workflows.,intermediate,code,examples/introduction.mdx
Adversarial testing for LLMs,"A tutorial highlights how to conduct scenario-based adversarial testing on LLMs, focusing on brand risks.",intermediate,code,examples/introduction.mdx
Optimizing LLM judge prompts,"It explains how to optimize prompts for multi-class and binary classifiers using target labels and free-form feedback, providing practical code examples.",intermediate,code,examples/introduction.mdx
Overview of metrics in ML,"The article features various metrics used in machine learning, including regression and classification metrics, laid out in an easy-to-follow format.",beginner,text,examples/introduction.mdx
Framework for RAG evaluations,"It gives a detailed breakdown of RAG evaluations, including methods to evaluate retrieval and generative quality.",advanced,text,examples/introduction.mdx
Evidently Cloud v2 updates and changes,"The article details significant improvements in Evidently Cloud v2, including a redesigned dashboard and performance enhancements, along with breaking changes that require users to adapt their SDK version.",beginner,text,faq/cloud_v2.mdx
migrating to Evidently 0.6 changes,"The guide details key changes introduced in Evidently 0.6, including a new API and the introduction of the Report object.",beginner,text,faq/migration.mdx
new API in Evidently 0.6,"Version 0.6 features a new core API where you need to import components from evidently.future, significantly changing how reports and datasets are handled.",beginner,code,faq/migration.mdx
old API compatibility Evidently 0.6 to 0.6.7,"During the transition from version 0.6 to 0.6.7, both the new and legacy APIs coexist, allowing for flexibility in migrating to the updated system.",intermediate,text,faq/migration.mdx
how to create Dataset in Evidently,"You now need to explicitly create a Dataset object in the new Evidently API, replacing the previous method of directly passing a DataFrame.",intermediate,code,faq/migration.mdx
using descriptors in new Evidently version,"The article explains how descriptors have been updated, allowing you to perform evaluations and checks in a more modular approach with improved APIs.",intermediate,code,faq/migration.mdx
Reports API changes Evidently 0.6,"The Reports API has undergone significant changes including the unification of Reports and Tests, simplifying the way metrics and evaluations are managed together.",advanced,text,faq/migration.mdx
Evidently Reports and Tests unified,"The guide explains the new Test Suite mode, which integrates test results into the same Report, improving usability and eliminating duplication.",advanced,code,faq/migration.mdx
Evidently library features overview,"The Evidently library offers various data evaluations, reports, and test suites, being suitable for data scientists and AI engineers in Python environments.",beginner,text,faq/oss_vs_cloud.mdx
Cloud vs open-source Evidently features,"The article outlines the core and premium features available in both the open-source and cloud versions of the Evidently platform, highlighting differences in functionality and support.",beginner,text,faq/oss_vs_cloud.mdx
Tracely library open-source details,Tracely is an open-source Python library that captures real-time data from AI applications and integrates with OpenTelemetry.,beginner,text,faq/oss_vs_cloud.mdx
Evidently Enterprise vs Cloud features,"The article compares Evidently Cloud and the Enterprise versions, detailing their deployment options and additional features such as role-based access control and premium capabilities.",intermediate,text,faq/oss_vs_cloud.mdx
Deploy Evidently OSS,"To deploy the Evidently OSS version, users need to manage their own hosting environment, including maintenance tasks like backups and updates.",intermediate,code,faq/oss_vs_cloud.mdx
Benefits of Evidently Cloud,"The Evidently Cloud platform is fully managed, offering automatic updates and scalability, making it an efficient choice for teams focusing on AI development.",intermediate,text,faq/oss_vs_cloud.mdx
telemetry data collection evidently,"The article outlines the types of telemetry data collected by Evidently, including environment and service usage data, while ensuring anonymity.",beginner,text,faq/telemetry.mdx
how to disable telemetry in evidently,The article provides steps to disable telemetry by setting the environment variable `DO_NOT_TRACK` to any value.,beginner,code,faq/telemetry.mdx
is evidently telemetry anonymous,"Evidently collects only anonymous usage data, ensuring personal information is not collected.",beginner,text,faq/telemetry.mdx
evidently telemetry data examples,"The article includes specific examples of telemetry data collected during actions like startup, indexing, and listing projects.",intermediate,code,faq/telemetry.mdx
what data does evidently collect,"The article describes the types of data collected by Evidently, including user environment details and service usage actions.",beginner,text,faq/telemetry.mdx
how to enable telemetry evidently,"To enable telemetry, simply unset the environment variable `DO_NOT_TRACK`. The default setting is telemetry enabled.",beginner,code,faq/telemetry.mdx
evidently user id handling telemetry,The user ID collected in telemetry is anonymized to ensure privacy while still allowing for user action tracking.,intermediate,text,faq/telemetry.mdx
importance of telemetry in evidently,"Telemetry helps the developers understand user engagement, which features are popular, and how to prioritize new developments in Evidently.",intermediate,text,faq/telemetry.mdx
evidently source ip collection,"Evidently obscures the exact source IP address by using `jitsu`, an open-source tool for event collection, ensuring user privacy.",advanced,text,faq/telemetry.mdx
evidently event log structure,"The article presents a structured example of telemetry event logs, showcasing the data format and key-value pairs collected during usage.",advanced,code,faq/telemetry.mdx
benefits of using Evidently AI,"Evidently AI provides a flexible, model-agnostic platform with built-in evaluations for reliable AI product development, allowing users to build without limitations.",beginner,text,faq/why_evidently.mdx
Evidently features and evaluations,"Evidently offers over 100 built-in evaluations covering various ML and LLM use cases, making it easy for developers to assess model performance without extensive setup.",beginner,code,faq/why_evidently.mdx
open-source capabilities of Evidently,"As an open-source library with extensive community support, Evidently allows developers to inspect metrics implementations and utilize an intuitive API to enhance their AI workflows.",intermediate,text,faq/why_evidently.mdx
integration options with Evidently platform,"Evidently integrates seamlessly with existing tools, facilitating easy export of metrics and reports, which enhances collaborative workflows among team members.",intermediate,code,faq/why_evidently.mdx
Evidently Python library examples,The article details how Evidently as a Python library helps in evaluating AI systems with over 100 evaluation metrics and provides examples in the Cookbook section for practical implementation.,beginner,code,introduction.mdx
row-level text evaluations,The article provides a comprehensive reference for performing row-level text evaluations and using different descriptors.,beginner,text,metrics/all_descriptors.mdx
code examples for LLM evaluations,"The article includes a section for code examples focused on LLM evaluations, guiding users through the implementation of various descriptors.",beginner,code,metrics/all_descriptors.mdx
ExactMatch descriptor usage,"The ExactMatch descriptor checks for matching contents between two columns and returns True or False, with syntax examples provided in the article.",intermediate,code,metrics/all_descriptors.mdx
how to validate JSON structure,"To validate JSON structure, you can use the IsValidJSON descriptor, which checks if the content is a valid JSON and returns True or False based on validation results.",intermediate,code,metrics/all_descriptors.mdx
measuring text length in Python,"You can measure the length of a text using the TextLength descriptor, which returns the number of symbols present in the text.",beginner,code,metrics/all_descriptors.mdx
parameters for Contains descriptor,"The Contains descriptor requires a list of items and checks if the text contains any or all of those items, with optional parameters for case sensitivity.",intermediate,code,metrics/all_descriptors.mdx
using CustomDescriptor in evaluations,"The CustomDescriptor allows users to implement their own checks for specific columns as a Python function, providing great flexibility in text evaluations.",advanced,code,metrics/all_descriptors.mdx
returns from DoesNotContain descriptor,The DoesNotContain descriptor returns True or False based on whether specified items are absent in the text.,beginner,code,metrics/all_descriptors.mdx
parameter options for JSONSchemaMatch,JSONSchemaMatch includes parameters like expected_schema and options for exact matching and type validation to ensure structured data integrity.,intermediate,code,metrics/all_descriptors.mdx
context relevance with LLM,"The article explains how to use ContextRelevance to check if context chunks are relevant to a given question, employing various methods for calculation.",advanced,code,metrics/all_descriptors.mdx
using ContextQualityLLMEval,"ContextQualityLLMEval evaluates if context provides enough information to answer a question, returning a label or score based on the evaluation.",intermediate,code,metrics/all_descriptors.mdx
syntax validation descriptors,"Descriptors like IsValidPython and IsValidSQL are provided for validating the syntax of Python code and SQL queries, respectively.",intermediate,code,metrics/all_descriptors.mdx
how to check for biased texts,The BiasLLMEval descriptor detects biased texts and returns a score or label indicating whether bias is present.,intermediate,code,metrics/all_descriptors.mdx
measuring percentage of OOV words,"The OOVWordsPercentage descriptor calculates how many out-of-vocabulary words are present in a text, returning a score from 0 to 100.",beginner,code,metrics/all_descriptors.mdx
function of ItemMatch descriptor,ItemMatch checks if any or all specified items are present in the corresponding row and returns True or False accordingly.,intermediate,code,metrics/all_descriptors.mdx
Detecting negative tones in text,"The NegativityLLMEval checks for negative tones within texts and evaluates them against user-defined criteria, offering scores or labels.",intermediate,code,metrics/all_descriptors.mdx
code to check URL presence,"Use the ContainsLink descriptor to verify if a column contains valid URLs, returning True or False for each row.",beginner,code,metrics/all_descriptors.mdx
parameters for CompletenessLLMEval,CompletenessLLMEval requires a context parameter and evaluates if a response fully utilizes the provided context to return a completeness score.,advanced,code,metrics/all_descriptors.mdx
text statistics evaluation,"The document outlines various descriptors for descriptive statistics about text, such as word count and sentence count, to summarize text attributes.",beginner,text,metrics/all_descriptors.mdx
LLM judge parameters,"The article discusses how to specify LLM judge templates and their parameters to tailor evaluations effectively, ensuring flexibility in scoring criteria.",advanced,code,metrics/all_descriptors.mdx
how to use BeginsWith descriptor,"BeginsWith checks if text starts with a specified prefix, with options for case sensitivity as optional parameters.",beginner,code,metrics/all_descriptors.mdx
how to implement a CustomColumnsDescriptor,"CustomColumnsDescriptor allows for applying custom checks as a Python function, specifically designed to handle any column in your dataset.",advanced,code,metrics/all_descriptors.mdx
determine text sentiment,"The Sentiment descriptor analyzes sentiment in text using a word-based model from NLTK, providing a score ranging from negative to positive.",intermediate,code,metrics/all_descriptors.mdx
checking for PII in text,The PIILLMEval descriptor specifically detects any personally identifiable information within the text and returns appropriate labels.,intermediate,code,metrics/all_descriptors.mdx
evidently metrics reference,"The article serves as a detailed reference for various dataset-level evaluation metrics in machine learning, outlining their functions and usage.",beginner,text,metrics/all_metrics.mdx
how to use TextEvals in evidently,TextEvals() is a large preset that summarizes text evaluation results by displaying ValueStats for all descriptors in a dataset.,beginner,code,metrics/all_metrics.mdx
parameters for ValueStats in evidently,"ValueStats() requires a 'column' parameter and computes various descriptive statistics for that column, including unique and missing value counts.",beginner,code,metrics/all_metrics.mdx
data quality metrics overview,"The article outlines various data quality metrics that check for missing values, out-of-range values, and unique value counts at the column level.",intermediate,text,metrics/all_metrics.mdx
metric cookbook example,Users can reference the Metric cookbook for concrete code examples illustrating how to implement different metrics in their evaluations.,beginner,code,metrics/all_metrics.mdx
understanding test defaults in metrics,"Test defaults in metrics determine conditions that apply during evaluation, which may vary based on whether a reference dataset is provided.",intermediate,text,metrics/all_metrics.mdx
how to calculate precision in evidently,"Precision() calculates the proportion of true positive results among all positive identifications in a dataset, and requires specific visualizations to be set.",intermediate,code,metrics/all_metrics.mdx
evidently ColumnCount metric,"ColumnCount() counts the total number of columns in a dataset, with an optional parameter for test conditions.",beginner,code,metrics/all_metrics.mdx
meaning of dummy model metrics,"Dummy model metrics provide a baseline for model evaluation, comparing metrics such as precision and recall against a random or constant model.",intermediate,text,metrics/all_metrics.mdx
how to check for missing values in evidently,MissingValueCount() counts and reports the number and share of missing values for specified columns in a dataset.,beginner,code,metrics/all_metrics.mdx
data drift detection methods,"The article describes various metrics used to detect data distribution drift for both text and tabular data, including details on calculation methods.",intermediate,text,metrics/all_metrics.mdx
mean error calculation in regression metrics,MeanError() computes the mean error and requires at least one visualization parameter to be set for effective output.,intermediate,code,metrics/all_metrics.mdx
usage of RecallTopK metric,"RecallTopK() calculates the recall for the top K retrieved items to evaluate recommendation systems, while requiring specific parameters.",intermediate,code,metrics/all_metrics.mdx
importance of dataset stats,"Dataset stats provide essential insights into column types, row counts, and data quality, essential for exploratory data analysis.",beginner,text,metrics/all_metrics.mdx
parameters for StandardDeviation in ValueStats,StandardDeviation is one of the metrics computed by ValueStats() and provides insights into the variance within a specified numerical column.,intermediate,code,metrics/all_metrics.mdx
exploratory data analysis metrics,"The article outlines metrics applicable for exploratory data analysis, including those for checking data quality and distribution characteristics.",intermediate,text,metrics/all_metrics.mdx
how to calculate percentage error with MAPE,"MAPE() calculates the Mean Absolute Percentage Error, focusing on forecasting accuracy against median values in regression tasks.",advanced,code,metrics/all_metrics.mdx
what is accuracy metric in classification,Accuracy() evaluates the overall correctness of predictions by calculating the portion of true results from total predictions made.,beginner,text,metrics/all_metrics.mdx
comparing model performance with dummy models,"Dummy models serve as a baseline for comparison, ensuring that trained models outperform these simple metrics as a part of evaluation.",intermediate,text,metrics/all_metrics.mdx
evidently regression metrics overview,"The article provides an overview of various regression metrics like RMSE, MAE, and R² that are crucial for assessing model performance.",beginner,text,metrics/all_metrics.mdx
how to check outliers with OutRangeValueCount,"OutRangeValueCount() counts and reports the number and share of values that fall outside specified limits, useful in data validation.",intermediate,code,metrics/all_metrics.mdx
how tests work in evidently,"Tests in evidently allow users to implement conditional checks during metric evaluations using operators like eq, gt, etc., for flexibility.",advanced,text,metrics/all_metrics.mdx
importance of dummy model evaluation metrics,"These metrics help track whether a new model performs better than a naive approach, serving a critical role in performance validation.",intermediate,text,metrics/all_metrics.mdx
settings for DriftedColumnsCount,"DriftedColumnsCount() determines the number of columns that show significant drift compared to a reference, indicating data stability.",advanced,code,metrics/all_metrics.mdx
visualizing classification metrics results,"Classification metrics can be visualized through confusion matrices and PR curves, enhancing interpretability and analysis.",intermediate,text,metrics/all_metrics.mdx
what is a category count metric,"CategoryCount() counts occurrences of specified categories within a column, useful for understanding categorical distributions.",beginner,code,metrics/all_metrics.mdx
how to use QuantileValue in metrics,"QuantileValue() computes the quantile of a specified numerical column, applying a default of 0.5 if no specific quantile is provided.",intermediate,code,metrics/all_metrics.mdx
dataset data quality metrics overview,"Dataset-level data quality metrics assess overall data integrity, including constant columns and duplicate row counts.",beginner,text,metrics/all_metrics.mdx
calculate F1 score with F1Score,"F1Score() calculates the harmonic mean of precision and recall, providing a single metric for evaluating a classification task's accuracy.",intermediate,code,metrics/all_metrics.mdx
how to set parameters for InRangeValueCount,"InRangeValueCount() counts the number of values falling between specified thresholds, helping with range validations in datasets.",intermediate,code,metrics/all_metrics.mdx
evidently metrics for recommender systems,Metrics such as PrecisionTopK and RecallTopK are specified for evaluating the effectiveness of recommendation algorithms in finding relevant items.,advanced,code,metrics/all_metrics.mdx
summarize regression metrics explained,"The article details metrics like R² and Mean Absolute Error, outlining their calculation methods and significance in evaluating regression models.",intermediate,text,metrics/all_metrics.mdx
evidently Dummy model quality metrics explained,"Dummy model metrics provide a baseline for model quality by using simple, heuristic calculations for comparison.",beginner,text,metrics/all_metrics.mdx
how to assess data quality with ColumnsWithMissingValuesCount,"ColumnsWithMissingValuesCount() quantifies the number of columns containing missing data, crucial for data cleaning processes.",beginner,code,metrics/all_metrics.mdx
how to use Ranking metrics in evidently,"Ranking metrics evaluate the effectiveness of recommendations and retrieval systems, focusing on metrics like NDCG and MAP.",advanced,code,metrics/all_metrics.mdx
overview of presets for evaluation,The article outlines various pre-built evaluation templates (Presets) that simplify the evaluation process for datasets without requiring setup.,beginner,text,metrics/all_presets.mdx
data drift detection methods,The article outlines various data drift detection methods and parameters to customize detection based on the column type and data characteristics.,beginner,text,metrics/customize_data_drift.mdx
customizing data drift parameters,"You can customize data drift detection by passing specific parameters to metrics or presets, such as drift methods, thresholds, and column shares.",beginner,code,metrics/customize_data_drift.mdx
how to set drift thresholds,It is possible to set thresholds for each drift detection method to enhance the specificity of drift detection in your dataset.,beginner,code,metrics/customize_data_drift.mdx
method for categorical data drift,"The article explains how to choose drift detection methods for categorical columns, such as using the Chi-Square test for categorical data.",intermediate,text,metrics/customize_data_drift.mdx
how to implement custom drift method,You can implement a custom drift detection method by defining a StatTest function and registering it with the required parameters.,advanced,code,metrics/customize_data_drift.mdx
default data drift algorithm,The default data drift algorithm automatically selects the detection method based on the column type and volume of data.,beginner,text,metrics/customize_data_drift.mdx
drift share parameter example,"To set the drift share parameter, use the DataDriftPreset method with a specified drift share, e.g., 0.7 for detecting dataset drift.",intermediate,code,metrics/customize_data_drift.mdx
PSI method for drift detection,You can apply the Population Stability Index (PSI) method for detecting drift across all columns in the dataset by specifying it in the report.,intermediate,code,metrics/customize_data_drift.mdx
detecting drift in numerical columns,"For numerical columns, several statistical tests like K-S and Wasserstein distance are available for effectively detecting data drift.",intermediate,text,metrics/customize_data_drift.mdx
text data drift detection methods,The article describes specific methods for detecting drift in raw text data using statistical hypothesis testing techniques.,intermediate,text,metrics/customize_data_drift.mdx
automated drift detection adjustments,You can override automated data drift detection settings by specifying custom algorithms or thresholds tailored to your dataset.,beginner,code,metrics/customize_data_drift.mdx
analyzing dataset drift,"To analyze dataset drift, you need to assess the share of drifting columns in your metrics, which can be set as a parameter in the report.",intermediate,code,metrics/customize_data_drift.mdx
supported statistical tests for drift detection,"The article lists various supported statistical tests for drift detection, categorizing them based on numerical or categorical data types.",advanced,text,metrics/customize_data_drift.mdx
role of thresholds in drift detection,"Thresholds in drift detection can vary in interpretation; some methods treat higher values as better, while others may mean worse results, depending on the context.",intermediate,text,metrics/customize_data_drift.mdx
how to use drift detection in python,Example code is provided to demonstrate how to use various drift detection methods in Python using the Evidently library.,beginner,code,metrics/customize_data_drift.mdx
using ValueDrift metric,The ValueDrift metric allows for specifying drift detection methods and thresholds for particular columns individually in the dataset.,intermediate,code,metrics/customize_data_drift.mdx
drift detection for text descriptors,You can check for distribution drift in text descriptors by first computing the relevant text descriptors and then applying standard drift detection methods.,intermediate,code,metrics/customize_data_drift.mdx
custom text evaluator example python,"The article provides Python code examples for creating custom text evaluators, such as a custom descriptor for checking if a column is empty or performing exact matches.",beginner,code,metrics/customize_descriptor.mdx
how to use CustomColumnDescriptor Evidently,"Instructions are included on how to implement and use CustomColumnDescriptor in your dataset evaluations, along with example code demonstrating its use.",intermediate,text,metrics/customize_descriptor.mdx
advanced custom descriptor features Evidently,"The article delves into the advanced capabilities of CustomDescriptor, including multi-column checks and returning multiple scores from a dataset.",advanced,text,metrics/customize_descriptor.mdx
using HuggingFace for text evaluation,"The article details the process of employing HuggingFace models to evaluate and classify text data according to various criteria, such as emotions.",beginner,text,metrics/customize_hf_descriptor.mdx
HuggingFace descriptors for emotion classification,"It discusses using specific descriptors from HuggingFace to classify texts based on emotions, providing code examples for implementation.",beginner,code,metrics/customize_hf_descriptor.mdx
install HuggingFace model dependencies,The article assumes familiarity with Python and the necessary imports to work with HuggingFace models in your projects.,beginner,text,metrics/customize_hf_descriptor.mdx
example of using HuggingFace for text scoring,"An example is provided that demonstrates how to score and classify text using the HuggingFace descriptors, including sample code.",intermediate,code,metrics/customize_hf_descriptor.mdx
HuggingFace add_descriptors usage,You will learn how to add built-in evaluators using the `add_descriptors` method to evaluate text data with HuggingFace.,intermediate,code,metrics/customize_hf_descriptor.mdx
custom evaluations HuggingFace,The article explains how to create custom checks by defining your own Python functions for evaluating texts with HuggingFace models.,intermediate,code,metrics/customize_hf_descriptor.mdx
overview of HuggingFace models,"It outlines different types of HuggingFace models available for text classification, including emotion and zero-shot classification models.",beginner,text,metrics/customize_hf_descriptor.mdx
HuggingFace parameters for emotion model,"The article provides detailed parameters needed to specify when using the HuggingFace model for emotion classification, such as the label to evaluate.",advanced,code,metrics/customize_hf_descriptor.mdx
sample data for evaluating HuggingFace,"A toy dataset example is provided in the article to run your evaluations with HuggingFace models, showing how to create a Dataset object.",beginner,code,metrics/customize_hf_descriptor.mdx
integrating HuggingFace with evidently library,Learn how to integrate HuggingFace models into your text evaluation processes using the Evidently library as described in the article.,intermediate,code,metrics/customize_hf_descriptor.mdx
how to use LLM evaluators,The article explains how to utilize built-in LLM evaluators or configure custom criteria by using templates in Python.,beginner,text,metrics/customize_llm_judge.mdx
set up OpenAI API key for LLM,"To use the LLM-based descriptors, you need to set your OpenAI API key as an environment variable as shown in the article.",beginner,code,metrics/customize_llm_judge.mdx
write a binary classification prompt template,The article provides an example of creating a binary classification prompt template for evaluating text characteristics.,intermediate,code,metrics/customize_llm_judge.mdx
evaluate text for toxicity automatically,You can run built-in ToxicityLLMEval on the response column to check for toxic content as demonstrated in the article.,beginner,code,metrics/customize_llm_judge.mdx
implement a custom LLM judge,The article outlines steps to create a custom LLM evaluator by choosing templates and setting evaluation criteria.,intermediate,code,metrics/customize_llm_judge.mdx
configure multi-class classification using LLM,You can use the multi-class classification prompt template to evaluate responses against multiple categories in your LLM integration.,intermediate,code,metrics/customize_llm_judge.mdx
pass additional columns to LLM evaluation,The article explains how to include additional columns in LLM evaluations using placeholders to map them in the criteria.,intermediate,code,metrics/customize_llm_judge.mdx
run single column evaluation with LLM,"To evaluate a single column like 'response' for toxicity, the article provides code examples to add descriptors effectively.",beginner,code,metrics/customize_llm_judge.mdx
how to parameterize LLM evaluators,The article details how you can switch output formats and include reasoning or scores when using LLM evaluators.,intermediate,text,metrics/customize_llm_judge.mdx
use ToxicityLLMEval in code,"You can implement ToxicityLLMEval within Python code to assess the toxicity of provided text data, as shown in the article.",beginner,code,metrics/customize_llm_judge.mdx
Evidently library for text evaluation,The article discusses utilizing the Evidently library for setting up prompt-based evaluators with LLMs.,beginner,text,metrics/customize_llm_judge.mdx
how to change LLM model,You can change the model used in evaluations by specifying the model name during the descriptor setup in your code.,intermediate,code,metrics/customize_llm_judge.mdx
create a custom prompt for evaluation,The article provides guidance on crafting custom prompts based on templates to tailor LLM evaluations to your needs.,advanced,code,metrics/customize_llm_judge.mdx
using models from different providers in LLM,You can select models from various providers by passing the correct provider name and model name parameters as explained in the article.,advanced,code,metrics/customize_llm_judge.mdx
steps to evaluate context quality in text,"You can evaluate context quality by running ContextQualityLLMEval with the appropriate columns, as demonstrated with example code.",intermediate,code,metrics/customize_llm_judge.mdx
understanding LLM-based descriptors in Evidently,The article explains the purpose and functionality of LLM-based descriptors within the Evidently library for evaluating text data.,beginner,text,metrics/customize_llm_judge.mdx
set context for custom LLM evaluations,"To set context for LLM evaluations, update the prompt using pre-messages or specific criteria, as described in the article.",intermediate,code,metrics/customize_llm_judge.mdx
Python imports for LLM evaluation,"The article lists the necessary imports for setting up LLM evaluations in Python, including specific templates and descriptors.",beginner,code,metrics/customize_llm_judge.mdx
how to pass options to LLM providers,The article explains how to use options to directly pass API keys and other parameters to LLM providers during evaluations.,advanced,code,metrics/customize_llm_judge.mdx
get output from LLM evaluations,"After running evaluations, you can view the results using the `as_dataframe()` method as shown in the code examples.",beginner,code,metrics/customize_llm_judge.mdx
LLM evaluation for text responses,The article shows how to set up evaluations for text responses using binary and multi-class classifiers with LLMs.,intermediate,code,metrics/customize_llm_judge.mdx
customizing LLM evaluation criteria,You can customize the criteria for LLM evaluations by defining specific grading logic and categories based on your requirements.,advanced,code,metrics/customize_llm_judge.mdx
check built-in LLM evaluators in Evidently,The article describes how to access and utilize built-in LLM evaluators available in the Evidently library.,beginner,text,metrics/customize_llm_judge.mdx
create custom metrics in data evaluation,"The article explains how to create custom metrics for column or dataset evaluations, including the necessary implementation steps and options for customization.",beginner,code,metrics/customize_metric.mdx
implement custom evaluation metrics,"It details the process of implementing custom calculation methods and optional test conditions for evaluations, along with visualization options.",intermediate,code,metrics/customize_metric.mdx
using Plotly for custom metric visualizations,"The article outlines how to integrate Plotly for visualizing custom metrics, showing examples of setting up visual outputs.",intermediate,code,metrics/customize_metric.mdx
default tests for custom metrics,"It explains how to define default tests that apply to custom metrics when not overridden by custom conditions, ensuring reliable evaluations.",advanced,text,metrics/customize_metric.mdx
classification metrics overview,"The article provides a comprehensive overview of key classification metrics such as accuracy, precision, and recall, crucial for model performance analysis.",beginner,text,metrics/explainer_classification.mdx
evidently classification model metrics examples,"Evidently offers practical examples of how to compute and visualize classification metrics like precision and recall, helping users understand model performance effectively.",beginner,code,metrics/explainer_classification.mdx
importance of confusion matrix in classification,"The article explains how a confusion matrix helps visualize classification errors and their types, which is vital for improving model outcomes.",intermediate,text,metrics/explainer_classification.mdx
how to interpret ROC curve,The article describes how to interpret ROC curves and their significance in evaluating the trade-offs between true positive and false positive rates.,intermediate,text,metrics/explainer_classification.mdx
precision-recall table for model evaluation,"The precision-recall table presented in the article shows outcomes for different classification thresholds, allowing for detailed model evaluation based on prediction coverage.",intermediate,code,metrics/explainer_classification.mdx
class separation quality visualization,This article discusses how the class separation quality visualization showcases correct and incorrect predictions to help in model threshold optimization.,intermediate,code,metrics/explainer_classification.mdx
interactive visualizations for model performance,"Evidently generates interactive visualizations for model performance analysis, aiding in spotting mistakes and developing improvement strategies.",beginner,text,metrics/explainer_classification.mdx
calculating F1-score details,"The article touches on how to calculate the F1-score, highlighting its importance as a balance between precision and recall in model assessment.",advanced,code,metrics/explainer_classification.mdx
data quality summary widget usage,"The article explains how the summary widget presents an overview of datasets, highlighting missing features and constant values.",beginner,text,metrics/explainer_data_stats.mdx
feature widget statistical summaries,It discusses how the features widget generates visualizations and statistical summaries for different types of features within a dataset.,beginner,code,metrics/explainer_data_stats.mdx
visualizations for categorical vs numerical features,"The article provides examples of visualizations created for both categorical and numerical features, showing how they differ in representation.",intermediate,code,metrics/explainer_data_stats.mdx
understanding feature behavior over time,It details how users can analyze feature behavior over time using additional visualizations available through the features widget.,intermediate,text,metrics/explainer_data_stats.mdx
feature interaction with target variable,The article describes how features are visualized in relation to the target variable to understand their influence on outcomes.,intermediate,code,metrics/explainer_data_stats.mdx
correlation insights between features,It outlines how the correlation widget summarizes pairwise correlations and identifies highly correlated variables in the dataset.,beginner,text,metrics/explainer_data_stats.mdx
heatmaps for correlation analysis,"The article mentions that the correlation widget includes heatmaps to visualize relationships between features, although some functionalities have been removed in newer versions.",advanced,text,metrics/explainer_data_stats.mdx
data drift detection algorithm,"The article explains the default algorithm used by Evidently for detecting data drift, focusing on the distribution changes in individual columns of datasets.",beginner,text,metrics/explainer_drift.mdx
how to detect data drift in datasets,Evidently detects data drift by comparing distributions of reference and current datasets using various statistical tests and methods as outlined in the article.,beginner,code,metrics/explainer_drift.mdx
default methods for data drift,"The article lists default methods for data drift detection based on column types and dataset sizes, including tests like Kolmogorov-Smirnov and chi-squared.",intermediate,text,metrics/explainer_drift.mdx
requirements for datasets in drift detection,"To evaluate data drift, the article specifies that two datasets (current and reference) must be non-empty and meet other criteria to avoid errors in drift calculations.",beginner,text,metrics/explainer_drift.mdx
visualizing data drift distributions,"The article describes how to visualize the distribution of columns in data drift analysis using Evidently’s tools, including mean plots and standard deviations.",intermediate,code,metrics/explainer_drift.mdx
custom thresholds for data drift,"It explains how users can set custom thresholds for data drift detection methods in Evidently, adapting the default algorithms as needed.",advanced,code,metrics/explainer_drift.mdx
